SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-26-2020,Multi-Family (2-4 Unit),363-365 4th Ave,San Francisco,CA,94118,1525000,,2,Inner Richmond,2680,3000,1906,31,569,,Sold,,,http://www.redfin.com/CA/San-Francisco/363-4th-Ave-94118/unit-365/home/1154938,San Francisco MLS,501835,N,Y,37.7818554,-122.4625236
PAST SALE,July-21-2020,Condo/Co-op,3145 Turk Blvd #203,San Francisco,CA,94118,1600000,3,2,Lone Mountain,1653,,1986,67,968,679,Sold,,,http://www.redfin.com/CA/San-Francisco/3145-Turk-Blvd-94118/unit-203/home/12087680,San Francisco MLS,500350,N,Y,37.7771225,-122.4576488
PAST SALE,July-20-2018,Condo/Co-op,3841 24th St Unit A,San Francisco,CA,94114,1430000,2,1,Noe Valley,1204,,1905,799,1188,550,Sold,,,http://www.redfin.com/CA/San-Francisco/3841-24th-St-94114/unit-A/home/17303634,San Francisco MLS,469565,N,Y,37.7514703,-122.4282438
PAST SALE,August-27-2020,Condo/Co-op,101 Randall St,San Francisco,CA,94131,1700000,4,2,Glen Park,2081,,1929,30,817,410,Sold,,,http://www.redfin.com/CA/San-Francisco/101-Randall-St-94131/home/12263371,San Francisco MLS,500960,N,Y,37.7396983,-122.4258497
PAST SALE,October-31-2017,Condo/Co-op,725 Tehama St #1,San Francisco,CA,94103,1175000,1,2,South of Market,1324,,2000,1061,887,350,Sold,,,http://www.redfin.com/CA/San-Francisco/725-Tehama-St-94103/unit-1/home/12396881,San Francisco MLS,463422,N,Y,37.775283,-122.4114402
PAST SALE,July-10-2020,Condo/Co-op,3716 23rd St,San Francisco,CA,94114,1360000,2,2,Noe Valley,,,1900,78,,223,Sold,,,http://www.redfin.com/CA/San-Francisco/3716-23rd-St-94114/home/146441733,San Francisco MLS,495377,N,Y,37.7535197,-122.4257804
PAST SALE,February-19-2019,Multi-Family (2-4 Unit),1219-1221 Church St,San Francisco,CA,94114,1500000,4,2,Noe Valley,2500,2495,1948,585,600,,Sold,,,http://www.redfin.com/CA/San-Francisco/1219-Church-St-94114/home/1712833,San Francisco MLS,477545,N,Y,37.7513488,-122.4270823
PAST SALE,March-20-2018,Townhouse,1035 Vallejo St,San Francisco,CA,94133,3600000,3,2.5,Russian Hill,2189,,1998,921,1645,3187,Sold,,,http://www.redfin.com/CA/San-Francisco/1035-Vallejo-St-94133/home/543846,San Francisco MLS,465727,N,Y,37.79768,-122.414369
PAST SALE,February-20-2020,Condo/Co-op,1200 California St Unit 17D,San Francisco,CA,94109,1900000,2,2,Nob Hill,1800,1850,1962,219,1056,2549,Sold,,,http://www.redfin.com/CA/San-Francisco/1200-California-St-94109/unit-17D/home/12400653,San Francisco MLS,494502,N,Y,37.7917486,-122.4144729
PAST SALE,,Single Family Residential,518 Sawyer St,San Francisco,CA,94134,440000,3,1,,,2247,1946,,,,,,,http://www.redfin.com/CA/San-Francisco/518-Sawyer-St-94134/home/791344,,,N,Y,37.7112144,-122.4154684
PAST SALE,October-24-2017,Condo/Co-op,401 Crescent Ct #4201,San Francisco,CA,94134,395000,1,1,Candlestick Point,807,,2007,1068,489,360,Sold,,,http://www.redfin.com/CA/San-Francisco/401-Crescent-Ct-94134/unit-4201/home/22889830,San Francisco MLS,451546,N,Y,37.7111771,-122.3880873
PAST SALE,December-29-2017,Condo/Co-op,1 Rausch St Unit C,San Francisco,CA,94103,970000,1,2,South of Market,1267,,,1002,766,473,Sold,,,http://www.redfin.com/CA/San-Francisco/1-Rausch-St-94103/unit-C/home/1590911,San Francisco MLS,464999,N,Y,37.7770265,-122.4101667
PAST SALE,December-1-2017,Condo/Co-op,1 Crescent Way #1301,San Francisco,CA,94134,650000,2,2,Bayview,984,,2001,1030,661,450,Sold,,,http://www.redfin.com/CA/San-Francisco/1-Crescent-Way-94134/unit-1301/home/875585,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40797942,N,Y,37.7108396,-122.3901806
PAST SALE,November-7-2017,Single Family Residential,20 Meadowbrook Dr,SAN FRANCISCO,CA,94132,1800000,4,3,SAN FRANCISCO,2274,2500,1941,1054,792,,Sold,,,http://www.redfin.com/CA/San-Francisco/20-Meadowbrook-Dr-94132/home/841891,MLSListings,ML81682456,N,Y,37.7338066,-122.4843816
PAST SALE,November-16-2017,Condo/Co-op,1150 Folsom St #1,San Francisco,CA,94103,1225000,2,2.5,South of Market,1694,,2000,1045,723,498,Sold,,,http://www.redfin.com/CA/San-Francisco/1150-Folsom-St-94103/unit-1/home/12397408,San Francisco MLS,461026,N,Y,37.7759504,-122.4092942
