SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,January-22-2016,Single Family Residential,1507 Palm Ave,SAN MATEO,CA,94402,1213300,2,2.0,SAN MATEO,1226,5200,1925,1709,990,,Sold,,,http://www.redfin.com/CA/San-Mateo/1507-Palm-Ave-94402/home/1765369,MLSListings,ML81534090,N,Y,37.555051,-122.313994
PAST SALE,October-20-2017,Townhouse,40 Barneson Ave Unit C,SAN MATEO,CA,94402,1350000,3,2.5,SAN MATEO,1752,11424,1989,1072,771,350,Sold,,,http://www.redfin.com/CA/San-Mateo/40-Barneson-Ave-94402/unit-C/home/1703778,MLSListings,ML81679719,N,Y,37.5538652,-122.31786
PAST SALE,May-16-2016,Single Family Residential,500 Castilian Way,SAN MATEO,CA,94402,1835000,3,2.5,SAN MATEO,1859,5350,1939,1594,987,,Sold,,,http://www.redfin.com/CA/San-Mateo/500-Castilian-Way-94402/home/712769,MLSListings,ML81579204,N,Y,37.5528504,-122.328267
PAST SALE,August-23-2016,Townhouse,503 Emerald Bay Ln,FOSTER CITY,CA,94404,1010000,2,2.5,FOSTER CITY,1530,,1991,1495,660,325,Sold,,,http://www.redfin.com/CA/Foster-City/503-Emerald-Bay-Ln-94404/home/1960889,MLSListings,ML81595678,N,Y,37.554728,-122.280753
PAST SALE,September-23-2020,Single Family Residential,607 Oregon Ave,SAN MATEO,CA,94402,2280000,3,2.0,SAN MATEO,1690,6000,1952,3,1349,,Sold,,,http://www.redfin.com/CA/San-Mateo/607-Oregon-Ave-94402/home/1782486,MLSListings,ML81812241,N,Y,37.5510983,-122.3321638
PAST SALE,September-15-2020,Single Family Residential,91 Crystal Springs Rd,HILLSBOROUGH,CA,94010,3900000,4,4.0,HILLSBOROUGH,3990,16988,1906,11,977,,Sold,,,http://www.redfin.com/CA/Hillsborough/91-Crystal-Springs-Rd-94010/home/1460362,MLSListings,ML81802723,N,Y,37.5620996,-122.3294184
PAST SALE,July-15-2016,Single Family Residential,211 Hobart Ave,SAN MATEO,CA,94402,1640000,3,2.0,SAN MATEO,1750,4800,1925,1534,937,,Sold,,,http://www.redfin.com/CA/San-Mateo/211-Hobart-Ave-94402/home/1395899,MLSListings,ML81586579,N,Y,37.5536718,-122.3211815
PAST SALE,August-13-2019,Single Family Residential,380 Georgetown Ave,SAN MATEO,CA,94402,3030000,3,3.5,SAN MATEO,2480,9840,1949,410,1222,,Sold,,,http://www.redfin.com/CA/San-Mateo/380-Georgetown-Ave-94402/home/1962929,MLSListings,ML81761328,N,Y,37.5551278,-122.3283334
PAST SALE,May-29-2018,Single Family Residential,235 Seville Way,SAN MATEO,CA,94402,2560000,3,2.5,SAN MATEO,2395,5500,1936,851,1069,,Sold,,,http://www.redfin.com/CA/San-Mateo/235-Seville-Way-94402/home/711356,MLSListings,ML81700604,N,Y,37.554204,-122.3233515
PAST SALE,,Condo/Co-op,803 Wharfside Rd,San Mateo,CA,94404,1300000,3,3.0,,2100,,1979,,619,,,,,http://www.redfin.com/CA/San-Mateo/803-Wharfside-Rd-94404/home/975970,,,N,Y,37.560573,-122.288637
PAST SALE,July-9-2020,Condo/Co-op,936 Shoreline Dr,SAN MATEO,CA,94404,950000,1,1.5,SAN MATEO,1150,,1979,79,826,623,Sold,,,http://www.redfin.com/CA/San-Mateo/936-Shoreline-Dr-94404/home/975389,MLSListings,ML81795614,N,Y,37.558323,-122.288957
PAST SALE,October-29-2019,Single Family Residential,1733 Lake St,SAN MATEO,CA,94403,1580000,3,2.0,SAN MATEO,1460,7920,1960,333,1082,,Sold,,,http://www.redfin.com/CA/San-Mateo/1733-Lake-St-94403/home/1740633,MLSListings,ML81768385,N,Y,37.5652416,-122.2879619
